TestCaseNo,phase,Sample,operatingSystem,HOW,isTrimmed,baseRecalibration,Mapper,M_Version,Variant Caller,VC_Version,ReferenceGenom,Duplicates,Variant Filter,FilterPass,SOMATICfilter,remove_indels,Sort,File Link,Result VCF Count,Kim yaptı :)
TestCase 541,done,LL,Linux,Local,YES,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 542,notReady,LL,Linux,Local + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 543,done,LL,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1MfHEdTFeU4wK-V1L66mWr_05PGN2FHH3?usp=sharing,,GÜL EDA
TestCase 544,notReady,LL,MAC,Local,YES,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 545,notReady,LL,MAC,Local + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 546,error!,LL,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 547,done,LL,Linux,Local,NO,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 548,notReady,LL,Linux,Local + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 549,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 550,notReady,LL,MAC,Local,NO,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 551,notReady,LL,MAC,Local + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 552,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 553,done,LL,Linux,Local,YES,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 554,notReady,LL,Linux,Local + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 555,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/16zrMWdtsp50W8e0kAuF96auAj_a5b92e?usp=sharing,,GÜL EDA
TestCase 556,notReady,LL,MAC,Local,YES,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 557,notReady,LL,MAC,Local + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 558,error!,LL,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 559,done,LL,Linux,Local,NO,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 560,notReady,LL,Linux,Local + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 561,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 562,notReady,LL,MAC,Local,NO,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 563,notReady,LL,MAC,Local + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 564,error!,LL,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 565,done,LL,Linux,Local,YES,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 566,notReady,LL,Linux,Local + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 567,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1k6x6J6v9J248s5cv1lQv3tq6tQUcFd_i?usp=sharing,,GÜL EDA
TestCase 568,notReady,LL,MAC,Local,YES,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 569,notReady,LL,MAC,Local + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 570,error!,LL,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 571,done,LL,Linux,Local,NO,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 572,notReady,LL,Linux,Local + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 573,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 574,notReady,LL,MAC,Local,NO,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 575,notReady,LL,MAC,Local + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 576,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,,,GÜL EDA
